"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","STINT","TOT","PC_PA","Q","1996-Q1",9.95,
"ITA","STINT","TOT","PC_PA","Q","1996-Q2",9.103333,
"ITA","STINT","TOT","PC_PA","Q","1996-Q3",8.666667,
"ITA","STINT","TOT","PC_PA","Q","1996-Q4",7.56,
"ITA","STINT","TOT","PC_PA","Q","1997-Q1",7.34,
"ITA","STINT","TOT","PC_PA","Q","1997-Q2",6.946667,
"ITA","STINT","TOT","PC_PA","Q","1997-Q3",6.81,
"ITA","STINT","TOT","PC_PA","Q","1997-Q4",6.406667,
"ITA","STINT","TOT","PC_PA","Q","1998-Q1",5.946667,
"ITA","STINT","TOT","PC_PA","Q","1998-Q2",5.153333,
"ITA","STINT","TOT","PC_PA","Q","1998-Q3",4.913333,
"ITA","STINT","TOT","PC_PA","Q","1998-Q4",3.953333,
"ITA","STINT","TOT","PC_PA","Q","1999-Q1",3.090733,
"ITA","STINT","TOT","PC_PA","Q","1999-Q2",2.634067,
"ITA","STINT","TOT","PC_PA","Q","1999-Q3",2.6994,
"ITA","STINT","TOT","PC_PA","Q","1999-Q4",3.4298,
"ITA","STINT","TOT","PC_PA","Q","2000-Q1",3.5423,
"ITA","STINT","TOT","PC_PA","Q","2000-Q2",4.263,
"ITA","STINT","TOT","PC_PA","Q","2000-Q3",4.7376,
"ITA","STINT","TOT","PC_PA","Q","2000-Q4",5.024167,
"ITA","STINT","TOT","PC_PA","Q","2001-Q1",4.745033,
"ITA","STINT","TOT","PC_PA","Q","2001-Q2",4.590766,
"ITA","STINT","TOT","PC_PA","Q","2001-Q3",4.267833,
"ITA","STINT","TOT","PC_PA","Q","2001-Q4",3.4435,
"ITA","STINT","TOT","PC_PA","Q","2002-Q1",3.362233,
"ITA","STINT","TOT","PC_PA","Q","2002-Q2",3.446,
"ITA","STINT","TOT","PC_PA","Q","2002-Q3",3.357333,
"ITA","STINT","TOT","PC_PA","Q","2002-Q4",3.1088,
"ITA","STINT","TOT","PC_PA","Q","2003-Q1",2.6831,
"ITA","STINT","TOT","PC_PA","Q","2003-Q2",2.3619,
"ITA","STINT","TOT","PC_PA","Q","2003-Q3",2.139233,
"ITA","STINT","TOT","PC_PA","Q","2003-Q4",2.149633,
"ITA","STINT","TOT","PC_PA","Q","2004-Q1",2.062933,
"ITA","STINT","TOT","PC_PA","Q","2004-Q2",2.082467,
"ITA","STINT","TOT","PC_PA","Q","2004-Q3",2.1163,
"ITA","STINT","TOT","PC_PA","Q","2004-Q4",2.1636,
"ITA","STINT","TOT","PC_PA","Q","2005-Q1",2.1403,
"ITA","STINT","TOT","PC_PA","Q","2005-Q2",2.1246,
"ITA","STINT","TOT","PC_PA","Q","2005-Q3",2.130333,
"ITA","STINT","TOT","PC_PA","Q","2005-Q4",2.343467,
"ITA","STINT","TOT","PC_PA","Q","2006-Q1",2.611567,
"ITA","STINT","TOT","PC_PA","Q","2006-Q2",2.8895,
"ITA","STINT","TOT","PC_PA","Q","2006-Q3",3.221367,
"ITA","STINT","TOT","PC_PA","Q","2006-Q4",3.594467,
"ITA","STINT","TOT","PC_PA","Q","2007-Q1",3.820333,
"ITA","STINT","TOT","PC_PA","Q","2007-Q2",4.064833,
"ITA","STINT","TOT","PC_PA","Q","2007-Q3",4.5005,
"ITA","STINT","TOT","PC_PA","Q","2007-Q4",4.724767,
"ITA","STINT","TOT","PC_PA","Q","2008-Q1",4.48,
"ITA","STINT","TOT","PC_PA","Q","2008-Q2",4.860466,
"ITA","STINT","TOT","PC_PA","Q","2008-Q3",4.9818,
"ITA","STINT","TOT","PC_PA","Q","2008-Q4",4.214667,
"ITA","STINT","TOT","PC_PA","Q","2009-Q1",2.0117,
"ITA","STINT","TOT","PC_PA","Q","2009-Q2",1.310633,
"ITA","STINT","TOT","PC_PA","Q","2009-Q3",0.8692,
"ITA","STINT","TOT","PC_PA","Q","2009-Q4",0.7219,
"ITA","STINT","TOT","PC_PA","Q","2010-Q1",0.6621333,
"ITA","STINT","TOT","PC_PA","Q","2010-Q2",0.6862667,
"ITA","STINT","TOT","PC_PA","Q","2010-Q3",0.8749334,
"ITA","STINT","TOT","PC_PA","Q","2010-Q4",1.020467,
"ITA","STINT","TOT","PC_PA","Q","2011-Q1",1.093133,
"ITA","STINT","TOT","PC_PA","Q","2011-Q2",1.411633,
"ITA","STINT","TOT","PC_PA","Q","2011-Q3",1.562067,
"ITA","STINT","TOT","PC_PA","Q","2011-Q4",1.495567,
"ITA","STINT","TOT","PC_PA","Q","2012-Q1",1.043,
"ITA","STINT","TOT","PC_PA","Q","2012-Q2",0.6960334,
"ITA","STINT","TOT","PC_PA","Q","2012-Q3",0.3585667,
"ITA","STINT","TOT","PC_PA","Q","2012-Q4",0.1951333,
"ITA","STINT","TOT","PC_PA","Q","2013-Q1",0.2114667,
"ITA","STINT","TOT","PC_PA","Q","2013-Q2",0.2068,
"ITA","STINT","TOT","PC_PA","Q","2013-Q3",0.2235,
"ITA","STINT","TOT","PC_PA","Q","2013-Q4",0.2409,
"ITA","STINT","TOT","PC_PA","Q","2014-Q1",0.2951333,
"ITA","STINT","TOT","PC_PA","Q","2014-Q2",0.2985667,
"ITA","STINT","TOT","PC_PA","Q","2014-Q3",0.1645667,
"ITA","STINT","TOT","PC_PA","Q","2014-Q4",0.08146667,
"ITA","STINT","TOT","PC_PA","Q","2015-Q1",0.04603333,
"ITA","STINT","TOT","PC_PA","Q","2015-Q2",-0.006533334,
"ITA","STINT","TOT","PC_PA","Q","2015-Q3",-0.0278,
"ITA","STINT","TOT","PC_PA","Q","2015-Q4",-0.08916666,
"ITA","STINT","TOT","PC_PA","Q","2016-Q1",-0.1860667,
"ITA","STINT","TOT","PC_PA","Q","2016-Q2",-0.2581,
"ITA","STINT","TOT","PC_PA","Q","2016-Q3",-0.2981,
"ITA","STINT","TOT","PC_PA","Q","2016-Q4",-0.3125,
"ITA","STINT","TOT","PC_PA","Q","2017-Q1",-0.3278,
"ITA","STINT","TOT","PC_PA","Q","2017-Q2",-0.3299667,
"ITA","STINT","TOT","PC_PA","Q","2017-Q3",-0.3296333,
"ITA","STINT","TOT","PC_PA","Q","2017-Q4",-0.3288,
"ITA","STINT","TOT","PC_PA","Q","2018-Q1",-0.3283,
"ITA","STINT","TOT","PC_PA","Q","2018-Q2",-0.3252333,
"ITA","STINT","TOT","PC_PA","Q","2018-Q3",-0.3195,
"ITA","STINT","TOT","PC_PA","Q","2018-Q4",-0.3153333,
"ITA","STINT","TOT","PC_PA","Q","2019-Q1",-0.3085333,
"ITA","STINT","TOT","PC_PA","Q","2019-Q2",-0.3171,
"ITA","STINT","TOT","PC_PA","Q","2019-Q3",-0.3967333,
"ITA","STINT","TOT","PC_PA","Q","2019-Q4",-0.4029667,
