"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","QGDP","TOT","PC_CHGPP","Q","1996-Q1",0.162496,
"ITA","QGDP","TOT","PC_CHGPP","Q","1996-Q2",-0.00901,
"ITA","QGDP","TOT","PC_CHGPP","Q","1996-Q3",0.119586,
"ITA","QGDP","TOT","PC_CHGPP","Q","1996-Q4",-0.306911,
"ITA","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.358404,
"ITA","QGDP","TOT","PC_CHGPP","Q","1997-Q2",1.320606,
"ITA","QGDP","TOT","PC_CHGPP","Q","1997-Q3",0.659926,
"ITA","QGDP","TOT","PC_CHGPP","Q","1997-Q4",1.695681,
"ITA","QGDP","TOT","PC_CHGPP","Q","1998-Q1",-0.589411,
"ITA","QGDP","TOT","PC_CHGPP","Q","1998-Q2",0.487452,
"ITA","QGDP","TOT","PC_CHGPP","Q","1998-Q3",0.112228,
"ITA","QGDP","TOT","PC_CHGPP","Q","1998-Q4",-0.418108,
"ITA","QGDP","TOT","PC_CHGPP","Q","1999-Q1",0.628459,
"ITA","QGDP","TOT","PC_CHGPP","Q","1999-Q2",0.381715,
"ITA","QGDP","TOT","PC_CHGPP","Q","1999-Q3",0.819412,
"ITA","QGDP","TOT","PC_CHGPP","Q","1999-Q4",1.503664,
"ITA","QGDP","TOT","PC_CHGPP","Q","2000-Q1",1.159439,
"ITA","QGDP","TOT","PC_CHGPP","Q","2000-Q2",0.663476,
"ITA","QGDP","TOT","PC_CHGPP","Q","2000-Q3",0.683704,
"ITA","QGDP","TOT","PC_CHGPP","Q","2000-Q4",1.464388,
"ITA","QGDP","TOT","PC_CHGPP","Q","2001-Q1",0.530881,
"ITA","QGDP","TOT","PC_CHGPP","Q","2001-Q2",-0.291032,
"ITA","QGDP","TOT","PC_CHGPP","Q","2001-Q3",-0.241069,
"ITA","QGDP","TOT","PC_CHGPP","Q","2001-Q4",-0.079445,
"ITA","QGDP","TOT","PC_CHGPP","Q","2002-Q1",-0.044743,
"ITA","QGDP","TOT","PC_CHGPP","Q","2002-Q2",0.46368,
"ITA","QGDP","TOT","PC_CHGPP","Q","2002-Q3",0.209801,
"ITA","QGDP","TOT","PC_CHGPP","Q","2002-Q4",0.380149,
"ITA","QGDP","TOT","PC_CHGPP","Q","2003-Q1",-0.392551,
"ITA","QGDP","TOT","PC_CHGPP","Q","2003-Q2",-0.105897,
"ITA","QGDP","TOT","PC_CHGPP","Q","2003-Q3",-0.072716,
"ITA","QGDP","TOT","PC_CHGPP","Q","2003-Q4",0.916858,
"ITA","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.336855,
"ITA","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.286135,
"ITA","QGDP","TOT","PC_CHGPP","Q","2004-Q3",-0.006436,
"ITA","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.185345,
"ITA","QGDP","TOT","PC_CHGPP","Q","2005-Q1",-0.097279,
"ITA","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.709525,
"ITA","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.648828,
"ITA","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.123688,
"ITA","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.29024,
"ITA","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.643126,
"ITA","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.415766,
"ITA","QGDP","TOT","PC_CHGPP","Q","2006-Q4",1.173902,
"ITA","QGDP","TOT","PC_CHGPP","Q","2007-Q1",-0.003213,
"ITA","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.118287,
"ITA","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.178737,
"ITA","QGDP","TOT","PC_CHGPP","Q","2007-Q4",-0.318977,
"ITA","QGDP","TOT","PC_CHGPP","Q","2008-Q1",1.043004,
"ITA","QGDP","TOT","PC_CHGPP","Q","2008-Q2",-0.898979,
"ITA","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-1.189084,
"ITA","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-2.47068,
"ITA","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-2.794646,
"ITA","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.315161,
"ITA","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.480012,
"ITA","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.31251,
"ITA","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.320983,
"ITA","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.738517,
"ITA","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.483995,
"ITA","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.594648,
"ITA","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.340912,
"ITA","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.119673,
"ITA","QGDP","TOT","PC_CHGPP","Q","2011-Q3",-0.470252,
"ITA","QGDP","TOT","PC_CHGPP","Q","2011-Q4",-0.883451,
"ITA","QGDP","TOT","PC_CHGPP","Q","2012-Q1",-1.127177,
"ITA","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.773571,
"ITA","QGDP","TOT","PC_CHGPP","Q","2012-Q3",-0.547831,
"ITA","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.800195,
"ITA","QGDP","TOT","PC_CHGPP","Q","2013-Q1",-0.846566,
"ITA","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.005751,
"ITA","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.183386,
"ITA","QGDP","TOT","PC_CHGPP","Q","2013-Q4",-0.199346,
"ITA","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.113252,
"ITA","QGDP","TOT","PC_CHGPP","Q","2014-Q2",-0.006061,
"ITA","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.141663,
"ITA","QGDP","TOT","PC_CHGPP","Q","2014-Q4",-0.208996,
"ITA","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.20863,
"ITA","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.398912,
"ITA","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.22875,
"ITA","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.489311,
"ITA","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.344172,
"ITA","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.17509,
"ITA","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.53454,
"ITA","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.29913,
"ITA","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.611135,
"ITA","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.343104,
"ITA","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.377454,
"ITA","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.516632,
"ITA","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.068133,
"ITA","QGDP","TOT","PC_CHGPP","Q","2018-Q2",-0.046655,
"ITA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.103062,
"ITA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.130551,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.231529,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.105722,
